Fat,Fiber,Carbohydrates,Energy,Proteins,Salts,Sugars,Positive Points,Negative Points,Blood Pressure Suitability,Diabetes Suitability,Cholestrol Suitability,Skinny,Fit,Obese
1.8,11.1,77.4,1.0,10.8,0.0,5.6,10.0,5.0,0,1,1,1,0,0
25.0,0.0,62.0,2.0,7.4,0.686,42.3,0.0,26.0,0,0,0,0,0,0
3.0,0.0,4.8,244.0,3.0,0.092,4.8,1.0,2.0,1,1,1,1,1,1
4.1,0.0,13.4,452.0,3.6,0.17,12.9,2.0,5.0,0,0,1,0,0,0
0.56,0.0,66.6,1.0,1.27,6.0,63.7,0.0,23.0,0,0,1,0,0,0
44.0,3.3,27.0,2.0,18.0,0.03,5.9,13.0,15.0,0,1,0,0,0,0
0.0,0.0,16.2,272.0,0.0,0.0,13.3,0.0,19.0,0,0,1,0,0,0
9.3,0.0,25.0,854.0,4.3,1.2,3.8,2.0,7.0,0,1,1,1,1,1
100.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,11.0,1,1,0,0,0,0
28.0,0.0,0.0,1.0,20.0,3.5,0.0,5.0,23.0,0,1,0,0,0,0
36.0,5.2,46.0,2.0,7.4,2.278,0.7,5.0,26.0,0,1,0,0,0,0
20.0,5.7,51.43,1.0,20.0,1.5,0.0,15.0,13.0,0,1,0,1,0,0
36.0,5.2,46.0,2.0,7.4,1.341,0.7,5.0,21.0,0,1,0,0,0,0
0.4,0.0,16.7,336.0,1.7,2.3,15.9,1.0,14.0,0,0,1,0,0,0
18.6,0.0,35.8,1.0,11.9,0.0,11.4,0.0,11.0,0,0,0,0,0,0
18.0,3.0,64.0,1.0,12.0,0.775,24.0,3.0,16.0,0,0,0,0,0,0
20.2,0.3,5.1,900.0,2.3,0.1,3.2,0.0,12.0,1,1,0,0,0,0
15.6,0.0,1.7,849.0,13.6,0.8,1.1,0.0,12.0,1,1,0,1,0,0
27.9,0.0,64.2,2.0,5.6,0.231,61.0,0.0,27.0,0,0,0,0,0,0
22.0,0.0,68.0,2.0,7.0,0.0,31.5,0.0,23.0,0,0,0,0,0,0
33.1,0.0,53.4,2.0,6.9,2.065,2.5,0.0,25.0,0,1,0,0,0,0
9.5,7.4,70.0,1.0,13.0,0.153,4.8,10.0,7.0,1,1,1,1,0,0
21.6,15.1,54.9,1.0,17.4,0.14,1.8,10.0,8.0,1,1,0,0,0,0
0.0,0.0,9.7,163.0,0.0,0.055,9.5,0.0,13.0,0,0,1,0,0,0
29.2,0.0,60.4,2.0,7.8,0.322,57.0,0.0,27.0,0,0,0,0,0,0
50.0,0.0,19.0,2.0,26.0,0.875,10.0,2.0,21.0,0,0,0,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
26.7,0.0,65.9,2.0,4.6,0.245,37.0,0.0,25.0,0,0,0,0,0,0
24.7,0.0,27.4,473.0,0.4,2.76,24.7,0.0,16.0,0,0,0,0,0,0
18.4,3.0,26.0,1.0,6.5,0.658,25.9,3.0,19.0,0,0,0,0,0,0
8.0,10.4,66.8,1.0,12.6,0.0,0.5,10.0,5.0,1,1,1,1,0,0
3.3,0.0,75.8,1.0,8.0,0.5,64.8,0.0,23.0,0,0,1,0,0,0
54.4,12.8,17.2,2.0,21.1,1.3,3.89,5.0,20.0,0,1,0,0,0,0
8.0,0.0,80.0,1.0,9.0,0.534,21.0,0.0,14.0,0,0,1,0,0,0
0.0,0.0,6.8,113.0,0.0,0.078,6.8,0.0,9.0,0,0,1,1,1,0
40.0,0.0,31.0,2.0,20.0,1.4,0.0,0.0,22.0,0,1,0,0,0,0
4.2,0.0,26.4,669.0,4.0,1.1,0.0,2.0,5.0,0,1,1,1,1,1
38.12,3.56,46.1,2.0,8.68,1.538,0.25,3.0,23.0,0,1,0,0,0,0
0.0,0.72,12.4,201.0,0.1,0.003,11.6,0.0,15.0,0,0,1,0,0,0
8.57,10.3,66.0,1.0,14.3,0.012,0.0,10.0,5.0,1,1,1,1,0,0
42.3,7.4,38.7,2.0,13.6,0.25,3.3,5.0,18.0,1,1,0,0,0,0
32.5,0.0,46.7,2.0,7.2,0.082,38.3,0.0,24.0,0,0,0,0,0,0
23.4,0.0,65.5,2.0,6.6,1.602,6.5,0.0,22.0,0,1,0,0,0,0
29.0,10.0,55.0,2.0,8.0,1.5,0.0,5.0,22.0,0,1,0,0,0,0
40.4,0.0,42.1,2.0,14.6,1.5,0.0,0.0,23.0,0,1,0,0,0,0
14.5,0.0,74.0,1.0,7.4,0.625,28.2,0.0,20.0,0,0,0,0,0,0
40.8,0.0,39.0,2.0,14.1,1.885,3.1,0.0,21.0,0,1,0,0,0,0
0.0,0.0,14.4,239.0,0.0,0.008,13.5,0.0,17.0,0,0,1,0,0,0
17.8,0.0,58.0,1.0,6.1,0.21,27.1,0.0,19.0,0,0,0,0,0,0
